Área,Sub Área,Disciplina 
 1. Ciencias Naturales      ,1.1 Matemáticas,Matemáticas Puras
,,Matemáticas Aplicadas
,,Estadísticas y Probabilidades (Investigación en Metodologías)
,1.2 Computación y Ciencias de la Información  ,Ciencias de la Computación
,,Ciencias de la Información y Bioinformática
,1.3 Ciencias Físicas,"Física Atómica, Molecular y Química"
,,Física de la Materia
,,Física de Partículas y Campos
,,Física Nuclear
,,Física de Plasmas y Fluídos
,,Óptica
,,Acústica
,,Astronomía
,1.4 Ciencias Químicas,Química Orgánica
,,Química Inorgánica y Nuclear
,,Química Física
,,Ciencias de los Polímeros
,,Electroquímica
,,Química de los Coloides
,,Química Analítica
,1.5 Ciencias de la Tierra y Medioambientales,Geociencias (Multidisciplinario)
,,Mineralogía
,,Paleontología
,,Geoquímica y Geofísica
,,Geografía Física
,,Geología
,,Vulcanología
,,Ciencias del Medio Ambiente
,,Meteorología y Ciencias Atmosféricas
,,Investigación del Clima
,,"Oceanografía, Hidrología y Recursos del Agua"
,1.6 Ciencias Biológicas,Biología Celular y Microbiología
,,Virología
,,Bioquímica y Biología Molecular
,,Métodos de Investigación en Bioquímica
,,Micología
,,Biofísica
,,Genética y Herencia
,,Biología Reproductiva
,,Biología del Desarrollo
,,Botánica y Ciencias de las Plantas
,,"Zoología, Ornitología, Entomología, Ciencias Biológicas del Comportamiento"
,,Biología Marina y del Agua
,,Ecología
,,Conservación de la Biodiversidad
,,"Biología (Teórica, Matemática, Criobiología, Evolutiva)"
,,Otras Biologías
,1.7 Otras Ciencias Naturales,Otras Ciencias Naturales
